Comments,HateSpeech
ঐতো যেই লাউ সেই কদু হয়ে যাবে।তখন দেখবেন গ্যাসের দাম বেড়ে গেছে হা হা ,nonhate
হুজুরের আবিষ্কার মহা বিপদজনক। ,nonhate
গানটা সুন্দর তার পোশাক আশাক ভালো লাগে নাই ,nonhate
রুচিতে কোনো সমস্যা হচ্ছে ,nonhate
গানটা সুন্দর তবে ড্রেসটা নয়,nonhate
এসব কি হচ্ছে বাংলাদেশে অস্ট্রেলিয়ান গাভীর মতো পেট বের করে আরো ,hate
চমৎকার পারফরমেন্স ,nonhate
"সুমন ভাই এক্স রে মনে পড়েছিল, তাই এই গান শুনতে চায়ছেছিল",nonhate
বুকে ব্যথা অনুভব করতে চায় কিন্তু আধুনিকতার ছোঁয়া লেগেছে,nonhate
আলেমদের বিরুদ্ধে লাগো আলেম কে ফাসি দেও আর পছেন্দের গান শোনো ,hate
শাকিব আর পরীমণির বিয়ে দেওয়া হোক ছেলে হলে নাম রাখবে প্রিন্স মামুন আর মেয়ে হলে লায়লা,nonhate
শাকিব খানের এতো দাম কেন পরিমনি তো ভালাই মোটাতাজা,hate
বাংলাদেশে বিনোদনের শেষ নেই,nonhate
"এবার ঈদের কোরবানি হবে, জাহেদ খান, সাকিব খন, পড়িমনি, তাহেরি হুজুর, তাদের গরু নামে বিক্রি করে কোরবানি হচ্ছে ",hate
একটা বেডা গরু আর একটা বেডি গরু তার মানে দুই জনেই গরু ,nonhate
"এখন পর্যন্তই কোরবানির হাটে কি, নাজমুল হোসেন শান্ত নামে কোন গরু আসে নাই!",nonhate
কিন্ত ষার গরু পরী মনি হয় কি করে সাকিব খান ছেলে এটা মানলাম। পরী মনি ছেলে আজ বুঝলাম,nonhate
আজব দেশে আমাদের বসবাস! যেখানে মানুষ আর গরুর মধ্যে কোন বেদাবেদ নাই ,hate
পরিমনির দাম সস্তা এজন্য সিরিয়ালে ৫০ জন বুকিং আছে!,hate
"পরীমনি আড়িয়া হলো কবে,পরীমনি তো মহিলা",hate
পরীমনির পরনে তো একটুকরো কাপড় অন্তত থাকা উচিত ছিলো!,nonhate
তার মানে পরীমনি আর শাকিব খান এই দুইটাকেই আজ হাটে তোলা হয়েছে ,hate
ভাই পরীমনি কিনার চেয়ে এক রাতের জন্য রাশিয়ান কিনে ফেলবো ছয় হাজার টাকা দিয়ে ,hate
"বাংলাদেশেয তাহলে নায়ক, নায়িকার নামে গরু বিক্রি হচ্ছে, কার দাম বেশি, চাহিদা কেমন ",hate
ওবাইদুল কাদের নামে কোন গুরু নাই।,nonhate
ভাইরাল হওয়ার জন্য শাকিব খান নাম টাই যথেষ্ট সব ভাইরাল হওয়ার ধান্দা,nonhate
পরিমনির কি বিচি আছে ভাইয়া ,hate
"হিরু আলম, রানু মন্ডল, সিদ্দিক, ওরা দি দোষ করলো।",nonhate
তাহেরী মনে হয় মাঠে ঘাস খায়,hate
জায়েদ খান কই,nonhate
শত্রুর দেশের লোক বাংলাদেশের ,hate
যতদিন শেখ হাসিনার হাতে দেশ পথ হারাবে না বাংলাদেশ ,nonhate
"এইগুলা নাটকেই সুন্দর, বাস্তব জীবন এ না",nonhate
"এই সব নাটক এ দেখতে ভালো, বাস্তবে তার উল্টো ঘটে ",nonhate
বাংলাদেশে জায়েদ খান আর শাহরিয়ার নাজিম জয়ের পর তৃতীয় বেহায়া হল সাকিব।নামে মাএ আজাইরা বিশ্বসেরা অলরাউন্ডার ,hate
মাদারবোর্ড অলরাউন্ডার ,hate
"আইসিটি সংক্ষিপ্ত,পূর্ণ রূপ যেনো কি ছিলো কি ছিলো ",nonhate
হাতে ব্লেড দিয়ে পোচ দিয়ে ক্যান,nonhate
বাংলাদেশে পাগলবন্দি ভাতা দেওয়া উচিত। এই কথার সাথে কে কে রাজি হাত তুলুন,nonhate
"সাংবাদিক গুলা কি বোকাচোদা নাকি, মূর্খ টিকটকারের ইন্টারভিউ নেয়",hate
ভাইটির পেটে আসতেছে মাথায় আসতেছে না  কি লজিকরেভাই,nonhate
নতুন পাগলের আমদানি হচ্ছে এর জন্য সাংঘাতিক সাহেবদের অবদান ,nonhate
ফকিনি পোলা,hate
সৃজনশীল পোলাপান ,nonhate
এই বালডারে নিয়া এতো কথা হচ্ছে কেন,hate
এই বাইনচোদ ডেনডি খাই মনে হই,hate
মাদারচোদের গোয়াতে বুম মাইক ডুকাইদেন ভাই,hate
যারা এই পাগল ছাগলদের ইন্টারভিউ নিচ্ছে তারাও একটা গাঞ্জা খোড় ,hate
অগ কুত্তা দিয়া চোদানো দরকার ,hate
আমি কি উগান্ডায় চলে আসলাম না কি?,nonhate
সরকারের কাছে জোর দাবি জানাচ্ছি কমেন্ট পড়া লোকদের বেতনের ব্যবস্থা করা হোক ধন্যবাদ,nonhate
ভিডিও টা দেখার পর কোমাতে আছি কেউ ডাক দিবেন না,nonhate
আমি এই ভিডিও দেখার জন্যই বোধহয় বেঁচে ছিলাম। এখন মরে গেলেও কোন দুঃখ থাকবে না,nonhate
"এমন গালি দিতে মন চাইতাসে, এমন মন চাইতাসে কিন্তু ভদ্রটার খাতিরে রাগের ঠেলায় দেয়ালে নিজের মাথা বাড়ি মেরে গালি দেওয়ার ইচ্ছে টাকে কবর দিয়ে দিসি।।।",nonhate
ভাই তরে আর কত বলব গাড়ি খাইয়ে মদ চালাস না ,hate
আচ্ছা এই টাকা গুলি কি ভ্যাট দিয়ে বৈধ করা যাবে কি,nonhate
মানুষের কষ্টের শেষ নাই ,nonhate
একজন ব্যাবসায়ী গ্রেফতার করা মোটেও ঠিক না।  এটা হয়রানি ছাড়া আর কিছু না ,nonhate
ব্যবসা ভালই বেচারি মহিলা কান্না করতেছে আহ্ সোনা গো আমার এখন খুব কষ্ট হচ্ছে না,nonhate
কত বড় নির্ভীক যোদ্ধা ,nonhate
একজন অপরাধী তার মুখ ঢাকনা কেন?,nonhate
আমাদের সমাজটা কোথায় চলে গেছে বিবাহিত হলে দোষ হয়ে যায় আর বিয়ে করার আগে যা করবে কোন দোষ নাই ,nonhate
তোরা কুত্তার বাচ্চারা দেশটাকে জাহাননাম বানাই ফেললি!,hate
"এই কুত্তার বাচ্চা,লায়লা যদি তোর বউ বা আত্মীয় না হয় তাহলে তার বাসায় ৪ বছর কেন থাকছিলে? তুই এবং লায়লা দুটাই আবর্জনা, অসভ্য।",hate
"বজ্রপাত ও বীর্যপাত দুটোই মারাত্মক প্রথমটায় মৃত্যুর হার বাড়তেই থাকে আর দ্বিতীয়টায় জন্মের হার বাড়তেই থাকে তাই বন্ধুগণ, সাবধানতার প্রয়োজন।",hate
বজ্রপাতের সময় প্রয়োজন ছাড়া বাইরে নয়। আর বীর্যপাতের সময় প্রয়োজন ছাড়া ভেতরে নয়।,hate
"জনস্বার্থে প্রচারিত, ধিক্কার জানাই কনডম এবং মেডিসিন কোম্পানিকে এত পরীক্ষার পরেও কিভাবে দুর্ঘটনা ঘটে.",hate
"যেহেতু লজ্জার ভ্যাকসিন তৈরি হয়নি এখনো, তাই আপাতত এদের কে কুকুরের ভ্যাকসিন দেওয়া উচিৎ! তাতে সমাজ একটু হলেও শান্তি পাবে! ",hate
"মহিলা তো সিরিয়াস টাউট, ছেলে আর কতো ভালো হবে ",hate
খালি শালীলিক সমপর্ক করছে ,nonhate
জায়েদ খানের ফেমিকন নিয়ে আসো। মজা আরো লাগবে। ,nonhate
যৌবনের জ্বালা বড় জ্বালা।,nonhate
"পিজি হাসপাতাল থেকে উন্নত চিকিৎসার জন্য ঢাকা মেডিকেলে প্রেরণ, হাহাহাহা",nonhate
দেশের দুর্নীতি তালিকায় প্রধান শীর্ষে এখন চিকিৎসা নামক পেশা। ,nonhate
"ঔষধ কোম্পানিগুলো হাসপাতালে খুবই বিরক্ত করে, ",nonhate
"এ কেমন পুলিশ, যে নিজের বিশেষ অঙ্গের সেইফটি দিতে পারেনা ",nonhate
অতিরিক্ত প্রেম আর অতিরিক্ত গরম দুইটাই বেশি হলেই জামা-কাপড় খুলতে হয়।,hate
ঘরে ঘরে পতনের ভয়ে হোটেলে আসলো তবুও হোটেলেও বিবস্ত্র  আই হায় কামডা করলো কে!,hate
হিজড়াঃ টাকা দে নয়তো কাপড় উঠামু! আমার বন্ধু উঠা একটু দেখি!,hate
অর্ধনগ্ন অবস্থায় দৌড় টা কড়া আসিলো ,hate
নিজের মেশিনের নিরাপত্তি দিতে পারে না যে পুলিশ সে জনগণের নিরাপত্তা দিবে কিভাবে প্যান্ট খুলে ধুর,hate
আহারে দুনিয়া নুনুর নিরাপত্তা টা ও নাই,hate
পুরাতন গর্ত হইতে সাবধান  গর্তে কাঁকড়া থাকতে পারে,nonhate
আজব আজব সব ঘটনা শুধু বরিশালেই হয়,nonhate
মেয়েরা ঘরে বসে ইমু ফ্রিল্যান্সিং করে মাসে লাখ টাকা ইনকাম করতে পারে ,nonhate
অডিও কল ৩০০ ভিডিও কল ৫০০ ,nonhate
বিছানায় শুয়ে আয় করেন আরও বেশি মজা লাগবে,nonhate
সরকার কি এই টাকার কোন ট্যাক্স নেবে না ,nonhate
মুখ খুলছে কয়েকদিন পড়ে শোনা যাবে সবী খুলছে!,nonhate
ইমো ভিডিও কল এদের আয়ের প্রধান উৎস‍,hate
এই সব ইমু উদ্যোক্তাদের সরকারিভাবে অনুদান দেয়া উচিত,nonhate
এই দেশে কেউ কাউকে উঠতে দেখলেই টেনে নামিয়ে ফেলে! হিংসা এদেশের মানুষের রক্তে মিশে গেছে ,nonhate
চুর. আগে মানুষের ঘরে ঘরে গিয়ে চুরি করতো. এখন শিক্ষিত হয়ে অফিসে বসে আছে. ,hate
শ্রীলঙ্কান হেতি এতো সুন্দর কেমনে ,nonhate
এই ভাইটি একমাত্র ব্যক্তি যে বিদেশ থেকে বউ আমদানি করে জিতছে ,nonhate
এতোদিনে একটা সুন্দরী মেয়ে আসলো তাও আবার শ্রীলঙ্কা থেকে ,nonhate
একাধিক পুরুষের প্রতি আকর্ষণ থাকলে ডিভোর্স তো হবেই। খুলনার মেয়েদের চরিত্র গুলো খুবই বৈচিত্র্যময়।,nonhate
আমার ক্রাশ এখনো বিয়ে করেনি তাই সিলেটে বিবাহের হার কম,nonhate
সিলেটের সবগুলো ইউরোপ লন্ডনের জন্য অপেক্ষা করছে আরকি,nonhate
"বাংলাদেশে কি জামাইয়ের অভাব পরেছে যে ফেইজবুকে জামাই ধরতে হবে, চরিত্রহিন নষ্টা নারী।",hate
বাংলাদেশের ১৮ কোঠি মানুষের অভিশাপে তুমি টিকতে পারবে না আম্পিয়ার ,nonhate
বর্তমান অবস্থা ভিক্ষা করতে আর গল্প বলতে টাকা লাগে না,nonhate
"আর ব্যবসা করে লাভ নাই  এখন থেকে সাংবাদিক হয়ে যাব, মিথ্যা বুয়া ভিডিও বানাবো, আর টাকা ইনকাম করবো ",nonhate
উনি কি তাহলে ছেলে ধরা ছিলেন,nonhate
ওনার প্রোডাক্ট ভালো না আমাকে ছিঁড়া ওড়না দিয়েছে,nonhate
আগেই জানতাম শরীল ব্যবসাই আর যাই হোক সৎ মানুষ হতে পারে নাহ!,hate
চারিদিকে প্রতারণার চক্করে দেশ টা ভরে গেছে ,nonhate
আর কত বিদেশ ঘুরবা মনু আর শরীর বিক্রি করবা সামলাও ঠেলা।,hate
মানবতার কিডনিওয়ালা,nonhate
একটা মানুষ এতটা জঘন্য হলে এত গুলো বছর এত মানুষকে আগলে রাখতে পারত না ,nonhate
সাংবাদিক আর পুলিশ দুই ভাই আমরা সব বোকা চুদা ,hate
বিশ্বাস হলো নামিডিয়া বিক্রি হয়ে গেছে।,nonhate
"আত্নচিৎকার ও রক্ত দেখে পেতেন পৈশাচিক আনন্দ  বাহ কি সুন্দর নাটক, আমি লিখিত ভাবে তোদের নিউজের মাইরে চুদি ",hate
আমাদের মধ্যে কতো মিল তাই না! দুইজন ই কাজকাম রেখে মোবাইল দেখতেছি!,nonhate
শরীফা আপা,nonhate
এই সমস্ত নোংরা নাটক বন্ধ করে দেওয়া উচিত ,nonhate
"বিড়ি কিনতে যাচ্ছিলাম, ভিডিওটা দেখার পর এখন গাজাঁ কিনতে যাচ্ছি সবাই দোয়া করবেন যেন সুস্থ থাকি",nonhate
জোভান থেকে জোভানা ,nonhate
এদেরকে লজ্জার ভ্যাকসিন দেওয়া দরকার ,nonhate
পৃথিবীর সবচেয়ে সুখী মানুষ ওরাই কোন লজ্জা শরম নাই এত প্রতারনা করার পর ও বীরের মতো লাইভ করে আবার।,nonhate
আপায় কট খাইছে,nonhate
"আপা তো দেখি মস্ত বড় লিজেন্ড, ",nonhate
"ও তো নিজেই ডুপ্লিকেট মাল, তার প্রডাক্ট অরিজিনাল হয় কেমনে।?",hate
"তাঁকে মুক্তিযোদ্ধার ভাতা দেওয়া উচিৎ, সে পাকিস্তানকে ধোঁকা দিয়েছে। সে এ যুগের নবীন মুক্তিযোদ্ধা",nonhate
গুলিস্তান আর পাকিস্তান! এত মিল ক্যামনে,nonhate
লোকলজ্জার ভয়ে বলতে পারছি না! ভীড়ের মাঝে এক মেয়ের ওড়নায় সর্দি মুছে ফেলেছি।,nonhate
চুমু একটা ভাল দিক স্বাস্থ্যের জন্যে খোব উপকার.,nonhate
"বাংলাদেশে রিকশাওয়ালা আর সাংবাদিক দুইটাই অনেক বাড়ছে, রিকশাওয়ালা যাত্রী পায়না. সাংবাদিক খবর পায়না",nonhate
কপালে যেটুকু সুখ লিখা ছিল তাও এই গরমে ঘাম মুছতে মুছতে উঠে গেছে! ,nonhate
মিমের একটা তানিশার দুটো ,nonhate
আসলে তানিসার সাথে নাজিম কেই মানায়. কারণ ডাস্টবিনে ময়লা আবর্জনা থাকবে এটাইতো স্বাভাবিক. ,hate
সানি লিওনের কথাটা বাদ গেল কেন বুঝলাম না ,nonhate
তাতে আমাদের বাল ছেড়া গেছে ,hate
বাংলাদেশে যে পরিমান সাংবাদিক আছে পৃথিবীর অনেক দেশে এতো পরিমাণ জনসংখ্যাও নাই। ,nonhate
নারীরা এগিয়ে যাচ্ছে ঠিকই কিন্তু পাবনার দিকে ,nonhate
মামুনের উচিত এখন লাইলার মেয়েকে বিয়ে করে লায়লাকে শাশুড়ী বানানো।,nonhate
"এখন তো মনে হচ্ছে, লাইলাই বড় মাপের লুইচ্চা",hate
ছোটবেলায় দেখতাম আলিফ লায়লা এখন বড় হয়ে দেখি মামুন লায়লা ,nonhate
এমন নারী যেন কারও স্ত্রী না হয়,nonhate
ভাই ওরে দেখলেই তো আমি অসুস্থ হইয়া যাই,nonhate
ইজ্জত এর ভয়ে মন খুলে কমেন্ট করতে পারি না যদি এলাকার কেউ কমেন্ট পড়ে ,nonhate
এবার ঠিক ঠিক ওটি করাতে হবে,nonhate
ভ্যাকগ্রাউন্ড বেশি ভালো হয়নি ,nonhate
দুঃখের বিষয় হচ্ছে ডাক্তার মেডাম এতো সুন্দর হইছে কেমনে ,nonhate
বিচ্ছেদের পর আলগা খাওয়া সেই স্বাদ!,nonhate
কেউ কাউকে ফাঁসায়ছে না আমরা ফেসবুক খুল ফেঁসেছি,nonhate
লায়লা শরির এর চাহিদা মিঠাইসে।আর মামুন লুচ্চায় টাকা কামাইসে।২টাই লাভবান আর সময় নিউজ এর পেটে ভাতের ব্যবস্থা হইছে।,hate
কচি বেডা মানুষের সাথে প্রেম বুড়ি মেয়ের ,hate
লায়লার নামে শিশু ধর্ষণের মামলা হওয়া উচিৎ,hate
প্রেম করে লাভ কি যদি মরেই যাই,nonhate
ওই মহিলাকে প্রকাশ্যে ল্যংটা করে জনগনের কাছে জুতার মালা দিয়ে তুলে দেয়া হোক,hate
"আমরা অপেক্ষার প্রহর গুনচি অচিরে আরেকটা জাতির কুলাঙ্গার জন্ম নিবে,",hate
চেরি রে ও চেটেপুটে খাইয়ে.,hate
"ছিড়ে যাক প্লাজূ, উড়ে যাক লুঙ্গি, তুমি কী হবে আমার জীবন সঙ্গী",nonhate
"ব্রেকিং নিউজ গাঁজা সংকটে বাংলাদেশ, মিলছে না কোথাও। পূর্বের মজুদ কৃত কয়েকটি দোকানে সাংবাদিকদের উপচে পড়া ভিড়। ",nonhate
থাকবে কি করে সমানে গুতা নিলে শক্তি আরো বাড়ার কথা,hate
কনডম আর মেডিসিন না থাকলে এগুলো প্রতিদিনই পেগনেন্ট হত,hate
আমি যাহা বুঝেছি আপনারাও কি তাই বুঝেছেন? ,nonhate
রাতের ডোজ টা বেশি হয়েছিল মনে হয় ,nonhate
উনি কিসে ক্লান্ত হলেন?,nonhate
চুষে নিয়ে গেছে সব?,nonhate
"চল্লিশা খাবো, সেই স্বাদ ",nonhate
হোগা মারা দেগা,hate
সেলিব্রিটি বলে কথা ওদের সবকিছু হঠাৎ করেই হয়। ,nonhate
মেকআপ ছাড়া অচল,nonhate
সেদিন সাকিব ইনভাইট করে নাই তাই হয়তো কষ্ট পেয়েছে,nonhate
টাকা দাও আমি কিছু শক্তি দিবো,nonhate
অনেক জনের সাথে খেলি শক্তি শেষ করে পেলচে ,nonhate
সারাদিন গাঁজা খেয়ে কুল পাই না  সংবাদ পড়ার সময় কই ,nonhate
"যুব সমাজ নষ্টের কারিগর, গালি দিয়ে ভরপুর সব নাটক, বয়কট চলছে চলবে",nonhate
শিমুলের ক্ষমা চাওয়ার ডিজাইনটা দেখে মনে হচ্ছে সে বিজ্ঞাপন টা করে অনেক খুশি,nonhate
এতো সিকিউরিটি থাকতে লিটন শান্ত মাঠে ডুকে কীভাবে ,nonhate
দেশের প্রতিটি সেক্টর এইভাবে ধ্বংস করে দিয়েছে,nonhate
"হজম শক্তির পাউডার খাওয়াই আর বানচোত সাংবাদিক বলে মোটা করণ ট্যাবলেট খাওয়াচ্ছে,",hate
"একে বলে জাত শিল্পী আর ফারিনের খালি গলায় গান শুনলে মনে হয়, হানিফ সংকেত ধরে এনে শিল্পী বানিয়ে দিলো।",nonhate
বোকাচোদা এগুলা রুচির সেলাইন জাম্বোবেট হাম্বাদিক সাহেব,hate
ক্রাশের দুংখে. আমি মর্মাহত. ছিদ্র বন্ধ করতে সর্বদা প্রস্তুত ,nonhate
"সাংবাদিক ভাই আপনি যাইয়া সাকিরার ফুডাটা বন্ধ করে দেন,",hate
চোখ দুটো একসাথে করলে মাঝখানে যে ছিদ্র হয় ওটাই বুঝাইছে আর কি ,nonhate
ছিদ্রটা মনে হয় ঐইটা দিয়ে করেছে ,nonhate
"তোমাদের নিচের ছিদ্রই ভরে না, আবার বুকে ছিদ্র ",hate
এর উপর যেনো নাজিম বাইনচুদের নজর না পরে,hate
তোর বুবস দুটো একত্র করলে ওইখানে তো কৃত্রিম একটি ছিদ্র তৈরী হয়েই যায়। তোর ৩৪ সাইজের মাই দুটোকে একত্রিত করে রাখিস নাকি সারাক্ষণ?,hate
সাবরিনা কি তৃতীয় লিঙ্গের হয়ে গেল,hate
হিজরার মতো খালি মচরা মুচি করে ,hate
ধৈর্য এবং বীর্য দুটোই যে ধরে রাখতে জানে সেই আসল পুরুষ।,hate
"এর কথা আর কন্ঠে, কেমন জানি চুদাইনা চুদাইনা ভাব আহে",hate
গরুর হাটে গাধী গেছে।,nonhate
ষাঁড়ে এক থেকে দুইবার খেলেছিল সাবরিনাকে,hate
বিশ্ব বিদ্যালয়ের অনুষ্ঠানে একজন পর্ণস্টার আসবে,hate
প্রগতিশীল বুদ্ধিজীবীরা কয় সানিলিওন নাকি পর্ণস্টার গোদ বেছনি নয়!,hate
লায়লার কচি মাল পছন্দ লায়লা যেটাই খাবে সব কচি কচি ,nonhate
"এ কি দেহ ব্যবসায়ী নাকি, হালির বেটির কতিন শাস্তি চাই কি বল তবাই",hate
লায়লার মাথায় শুধু ই সেক্স করার ধান্দা,hate
খাওয়া দাওয়া শেষ দ্য এন্ড ,nonhate
বন্ধুর বাড়িতে গিয়ে রাতে থেকে কি করলেন? সেটা জানতে চায় জাতী।,nonhate
বিমানে ওঠার টাকা নাই তাই রকেটে করে বাড়ি যাই ,nonhate
"এখানে তাকে রাতে তাকে চুদেচে তাই সেয় চিৎকার করতে চিল,",hate
চোদার জন্য চিললাই,hate
হাসতে হাসতে বিযপাত হয়ে গেলো ,hate
ওটাকে চিল্লানো বলেনা ওটা পর্যাপ্ত তৃপ্তি পাওয়ার একটা কঠিন অনুভূতি প্রকাশ পায় ,nonhate
লায়লার দিন শেষ আইনজীবীর বাংলাদেশ ,nonhate
ওরা দুইডা ওয়াশরুমে কি করে?,nonhate
"গর্ত করে, গায়ে মাটি লেগেছে সেটা পরিষ্কার করছে,",nonhate
"এতদিন তাহলে লায়লার দুদু খাইছে, আর কিছু করেনি,",hate
তার এখন ও গুড়ুয়ে বাল ও উটেনা,hate
সব সেটা বড় সুতমারানি এক রাতে মজা পেয়ে গেছে এখন পুন্দা পুন্দি শুরু,hate
মাঝখান দিয়া ৮ ইঞ্চিরা যাইবো নি ,nonhate
দূধ দেখলে সূখ পায়,nonhate
উদলা না হলে নায়িকা হওয়া যায় না,hate
পরিচালকের সাথে রাত কাটালেই নায়িকা,hate
দুধ হলো শরীরের বাড়তি মাংশ,hate
"দুধ তো আগেই বড় হয়ে আছে, উনি খেললে যে কী হবে!",hate
গর্তে ইঁদুর ঢুকে মজা পায় না! তাই বেরিয়ে যায়,hate
কেয়া কসমেটিকের পক্ষ থেকে প্যান্থার মুভি দেখার জন্য অনুরোধ রইল এর বেশি কিছু বলা নিষেধ। ,nonhate
আর কত লিংক দেখব তোদের জন্য হ্যান্ডেল মেরে মেরে শেষ হয়ে গেলাম,nonhate
স্বর্ণ নিয়ে আসেন কিসে করে?,nonhate
কয়দিন পর বলবে আমি ভাত খাই ডায়মন্ডের থালায়,nonhate
সানি লিওনের লেংটা ভিডিও আমার কাছে আছে,hate
নিওমিত কাম দিলেই ফিট থাকা জাই,nonhate
সকালটা শুরু হয় প্রচুর পরিমাণ দুধ পান করে কি আজব তাই না ,nonhate
চোদাচুদির বিকল্প নেই,hate
নিয়মিত সেক্স করলে সৌন্দর্য বাড়ে,hate
দুইটা দুধ নিয়ে নিজেকে ভাবছো তুমি রানী! কুত্তার তো ৬ টা আছে সে তো তাহলে মহারানী!,hate
পরিমনিকে বিয়ে করতে যাচ্ছেন হিরো আলম,nonhate
পরিমনি মানেই তো উষ্নতার সমুদ্র,nonhate
দুধ এখন কদু হয়ে গেছে ,hate
দুধ বের করলে যদি উস্নতা হয় তাহলে কুত্যার উস্নতা সব চেয়ে বেশি,hate
পরীর বড় বড় দূধ গুলা কাইটা আমার বাসাই লয়ে আই পিকনিক করমু ,hate
এমন শাড়ি পরার কি দরকার উলঙ্গ হয়ে থাকতে পারতেন।,hate
"আহারে, কবে এ দেশটা চোরের হাত থেকে মুক্তি পাবে ",nonhate
কোন শান্ত? জিরো মারা শান্ত? কিনমু না.,nonhate
দুই জনকে এলাকাবাসী মিলে জোতার মালা দেয়া উচিদ। ,hate
অনেক ঠাপাঠাপির পর একটু বমি আহ্ কি শান্তি ,nonhate
নাড়া দিতেই এভাবে বেড়িয়ে আসে কেনো ,nonhate
বাংলাদেশে এখন বড় ব্যবসা হলো লিংক এর ব্যবসা,nonhate
নাম এইতো দিঘী দিঘীর সমুদ্র ত গভীর হবেই,nonhate
মামার হাতেই পরম যত্নে দিগি ধীরে ধীরে সাগরে রুপান্তরিত হয়েছে,nonhate
উর্বর দুই পাহাড় ভাগ্য তো তাহার যে করিয়াছে আহার! ,nonhate
ব্যথা দিও না,nonhate
আমার খুব ভালো লাগে কেউ ধরলে,nonhate
আমি ও বলি মনের চেয়ে ও ওইটাই নরম।,nonhate
ও আ উ আ ই ,nonhate
এটা মন নারে পাগলা এটা হলো দুধ.,hate
মন ভেবে যা টিপছো ওটা অন্যের খাবার,nonhate
আহো ভাতিজা আহো তোমার লাগাইয়া শুইয়া আছি।,nonhate
"যৌবন জ্বালায় অস্থির কলেজ বা বিশ্ববিদ্যালয়ের ছাত্রী, বিবাহিত ভাবি, আন্টি, স্বামী প্রবাসে থাকে এমন কোনো মেয়ে একাকীত্ব দূর করে কল এ মজা করতে চাইলে আমাকে মেসেজ করেন সেক্স লেখে ",hate
"মন পাষাণ। দুধ নরম। মন ছোট, দুধ বড়। এটাই বারো ব্যাটারি কন্যা",hate
নামবে কুমির নোনতা খালে খাল ভরবে সাদা মালে।,hate
হাসতে হাসতে বান্ধবীর সাথে সহবাস করে ফেল্লাম.,hate
বাজে চিন্তা বাদ দিয়ে গাছ লাগাও,nonhate
অনেক বার লাগাইছি তবু চলে গেছে,nonhate
"তাদের সাউয়াই অনেক কারেন্ট, তাই লাগানোর পরেও চলে যায়।",hate
সুপার গ্লু দিয়ে লাগলে গ্যারানটি,nonhate
আইসক্রিম কালো হলে কি হবে ভিতরে তো তোমার থেকেও সাদা ,nonhate
তোমার ঠোঁট দুটি গোলাপী কিন্তূ নিচের পাপড়ী দুটি কালো কেনো,nonhate
ভালো করে ঠাপানো হলে শেষ হবে রাস্তা,nonhate
উফফ অনেক স্বাদ চুলকানো টা কি যে ভালো লাগে ,nonhate
লুচ্ছা একটা বন্ধু চাই ,hate
"যখন চুল কাবে আমাকে বলবেন, আমি চুলকে দেবো",nonhate
ঐখানে শুধু বড় মোটা কলা দিতে হয়,nonhate
মালম লাগবে মলম চুলকানির মলম বিশেষ অঙ্গে লাগানোর মলম ,nonhate
আহারে খাউজ্জায় চুলকায় মজা লাগে পোড়ায় যখন চুলকানি উঠে তখন ইচ্ছে করে দুইশ টাকা রোজের কামলা ভাড়া করে চুলকাই,nonhate
ওই খানে চুলকালে তো তোমাদের ওইটায় পানি আইসা পরার কথা ,nonhate
মেয়েদের কলা খাইতে হয় বেশি করে।,nonhate
